image_path,dataset,scene,rotation_matrix,translation_vector
urban/kyiv-puppet-theater/images/IMG_20220127_170709.jpg,urban,kyiv-puppet-theater,0.961211667939937;0.012901284585988954;0.27550986601600286;0.010296711688702664;0.9965305710025207;-0.0825881273900169;-0.27561949703263783;0.08222151733835402;0.9577439714986749,-15.272578207792487;-0.6299638684926413;21.960227723485236
urban/kyiv-puppet-theater/images/IMG_20220127_170633.jpg,urban,kyiv-puppet-theater,0.9983992256415107;0.03067020011152836;0.04752183775434721;-0.03868145364875668;0.9832545613189944;0.17808484716283723;-0.041264165834907926;-0.17963798727026198;0.9828669605533795,-10.86744827847772;5.142649233329267;22.080480064699838
urban/kyiv-puppet-theater/images/IMG_20220127_170350.jpg,urban,kyiv-puppet-theater,-0.00887553412819142;-0.176226804404349;-0.9843095744243122;0.39294322199801135;0.9045488935644099;-0.16548994965623587;0.9195199014593218;-0.3882465873138272;0.0612187737496096,21.65171058540772;5.995022279588175;8.020055338690078
urban/kyiv-puppet-theater/images/IMG_20220127_170339.jpg,urban,kyiv-puppet-theater,-0.9161929266043187;-0.08177524286162957;-0.3923051502276445;0.02954712485695776;0.9625084510711022;-0.2696376253963735;0.39964670479424774;-0.25863157439034623;-0.8794272113571824,9.821364270813396;4.839277289238847;19.63082835980071
urban/kyiv-puppet-theater/images/IMG_20220127_170250.jpg,urban,kyiv-puppet-theater,0.9917061795507187;0.02380210836276639;0.1263024666362647;-0.09440507878625559;0.8017463047077361;0.5901614558634365;-0.0872154489771079;-0.5971903570261137;0.7973438047258814,-25.98610607878878;1.9810845701842204;-1.0497515845043712
urban/kyiv-puppet-theater/images/IMG_20220127_170022.jpg,urban,kyiv-puppet-theater,0.9697792518800367;0.025391671560767513;0.2426591552741141;0.019106993973505237;0.9836116436581189;-0.17928484944766013;-0.2432347125808587;0.17850321418821521;0.9534010054117749,-5.869327495182091;-0.9816845968824357;17.92986505828334
urban/kyiv-puppet-theater/images/IMG_20220127_170001.jpg,urban,kyiv-puppet-theater,0.7444602957101786;-0.5535533863617507;0.3733061967856305;0.6258846363297849;0.7732816715263788;-0.1015080217899183;-0.23248073063685604;0.30921530513350726;0.9221380617639343,-2.6972607836321476;-6.323104565312248;17.570259695478907
urban/kyiv-puppet-theater/images/IMG_20220127_165957.jpg,urban,kyiv-puppet-theater,0.9999352888755633;-0.0037042753589563303;-0.01075622635541415;0.0037382583016558166;0.9999880797345393;0.0031409892866342674;0.010744463049123413;-0.0031809955821533015;0.9999372169195886,-10.284360319965284;2.119928336314951;15.678450253781774
urban/kyiv-puppet-theater/images/IMG_20220127_165920.jpg,urban,kyiv-puppet-theater,0.9792628212643243;-0.013668626777776234;0.2021323713101044;-0.01861908712326165;0.9874270323509464;0.15697511069370007;-0.20173660174626826;-0.15748340999804666;0.9666960841398162,-10.744954809656628;1.4979248230509177;8.82822904863869
urban/kyiv-puppet-theater/images/IMG_20220127_165845.jpg,urban,kyiv-puppet-theater,0.9016543679775152;0.1028800238307808;0.4200417853067068;-0.07241064229357812;0.9934940546124194;-0.08789916002105214;-0.42635208406867103;0.04883916611033636;0.9032378625057454,-16.097556557725525;3.0100628478800924;2.2136670691414593
urban/kyiv-puppet-theater/images/IMG_20220127_165822.jpg,urban,kyiv-puppet-theater,0.4449944456684489;-0.19764828361446626;-0.8734501126615564;0.6048582026366505;0.7855858293514882;0.13038964462446828;0.6603987416912533;-0.58633613286782;0.4691305162385192,1.5818211854758366;-6.065425847391304;-10.69611891909757
urban/kyiv-puppet-theater/images/IMG_20220127_165815.jpg,urban,kyiv-puppet-theater,0.3183289682798487;-0.19476375976410032;-0.9277573744446547;0.4334071554598873;0.9002971540205017;-0.04028985056753337;0.843104326610922;-0.38927125805167906;0.3710026712906619,3.2543767011465565;-3.043285340209127;-11.665507871530057
urban/kyiv-puppet-theater/images/IMG_20220127_165811.jpg,urban,kyiv-puppet-theater,0.9787239812773071;-0.02307056087459008;-0.2038801552226925;-0.0027919768666346614;0.9920690746569739;-0.1256628663306373;0.2051623097400532;0.12355848951078706;0.9708973819781055,-8.324212615779109;1.956314306278664;-9.142460116375128
urban/kyiv-puppet-theater/images/IMG_20220127_165748.jpg,urban,kyiv-puppet-theater,0.9822801741002959;0.04682391017590365;0.1814750148238906;-0.033130635661182725;0.9964209267786589;-0.07776694450886276;-0.1844668548823294;0.0703765451936757;0.9803158273415891,-8.77292706311348;1.2278479918095728;-10.235799611737038
urban/kyiv-puppet-theater/images/IMG_20220127_165737.jpg,urban,kyiv-puppet-theater,-0.019725354318522514;-0.16448203982744714;-0.986182827355664;-0.001674132754483998;0.9863787910798519;-0.1644812384053884;0.999804034637053;-0.0015934497331098751;-0.019732035916725454,16.43746098657576;1.7535836984489281;-0.3382924274434782
urban/kyiv-puppet-theater/images/IMG_20220127_165722.jpg,urban,kyiv-puppet-theater,0.36262413113398584;-0.14313201406140902;-0.9208783665990024;-0.08913332341249629;0.9782786472666277;-0.1871527156084578;0.9276631878956745;0.14994704016052318;0.34198961237197434,15.37096253190451;2.173529546741119;-6.377068448304994
urban/kyiv-puppet-theater/images/IMG_20220127_165709.jpg,urban,kyiv-puppet-theater,0.2819066637148836;-0.23110382714748118;-0.9311925977105547;0.8097644459670279;0.5778689645306185;0.1017300441365443;0.5145970996817376;-0.7827250353157857;0.3500447744061409,15.677143316014789;-2.333838481594533;-5.338574947144069
